RK,Team,Year,G,W,L,Conf,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors*,2018,82,58,24,West,240.6,42.8,85.1,.503,11.3,28.9,.391,31.5,56.2,.560,16.6,20.3,.815,8.4,35.1,29.3,8.0,7.5,15.5,19.6,113.5
2,Houston Rockets*,2018,82,65,17,West,240.9,38.7,84.2,.460,15.3,42.3,.362,23.4,41.9,.558,19.6,25.1,.781,9.0,34.5,21.5,8.5,4.8,13.8,19.5,112.4
3,New Orleans Pelicans*,2018,82,48,34,West,243.4,42.7,88.3,.483,10.2,28.2,.362,32.5,60.1,.540,16.1,20.9,.772,8.7,35.7,26.8,8.0,5.9,14.9,19.1,111.7
4,Toronto Raptors*,2018,82,59,23,East,241.8,41.3,87.4,.472,11.8,33.0,.358,29.5,54.4,.541,17.3,21.8,.794,9.8,34.2,24.3,7.6,6.1,13.4,21.7,111.7
5,Cleveland Cavaliers*,2018,82,50,32,East,240.6,40.4,84.8,.476,12.0,32.1,.372,28.4,52.6,.540,18.1,23.3,.779,8.5,33.7,23.4,7.1,3.8,13.7,18.6,110.9
6,Denver Nuggets,2018,82,46,36,West,242.4,40.7,86.6,.470,11.5,30.9,.371,29.2,55.7,.525,17.1,22.3,.767,11.0,33.5,25.1,7.6,4.9,15.0,18.7,110.0
7,Philadelphia 76ers*,2018,82,52,30,East,241.2,40.8,86.6,.472,11.0,29.8,.369,29.9,56.7,.526,17.1,22.8,.752,10.9,36.5,27.1,8.3,5.1,16.5,22.1,109.8
8,Minnesota Timberwolves*,2018,82,47,35,West,241.5,41.0,86.1,.476,8.0,22.5,.357,33.0,63.6,.519,19.4,24.1,.804,10.3,31.6,22.7,8.4,4.2,12.5,18.2,109.5
9,Los Angeles Clippers,2018,82,42,40,West,240.3,40.3,85.4,.471,9.5,26.8,.354,30.8,58.6,.525,19.0,25.5,.743,10.1,33.7,22.3,7.7,4.5,14.7,20.0,109.0
10,Charlotte Hornets,2018,82,36,46,East,241.2,39.0,86.7,.450,10.0,27.2,.369,28.9,59.4,.487,20.2,27.0,.747,10.1,35.4,21.6,6.8,4.5,12.7,17.2,108.2
11,Los Angeles Lakers,2018,82,35,47,West,242.7,40.7,88.4,.461,10.0,29.1,.345,30.7,59.3,.517,16.6,23.3,.714,10.7,35.7,23.8,7.7,4.7,15.8,21.2,108.1
12,Oklahoma City Thunder*,2018,82,48,34,West,241.8,39.9,88.1,.453,10.7,30.4,.354,29.1,57.7,.505,17.3,24.2,.716,12.5,32.6,21.3,9.1,5.0,14.0,20.2,107.9
13,Washington Wizards*,2018,82,43,39,East,242.1,39.9,85.6,.467,9.9,26.5,.375,30.0,59.1,.508,16.8,21.8,.772,10.0,33.1,25.2,7.9,4.3,14.6,21.3,106.6
14,Brooklyn Nets,2018,82,28,54,East,242.1,38.2,86.8,.441,12.7,35.7,.356,25.5,51.1,.500,17.4,22.6,.772,9.7,34.8,23.7,6.2,4.8,15.2,20.6,106.6
15,Milwaukee Bucks*,2018,82,44,38,East,241.8,39.7,83.0,.478,8.8,24.7,.355,31.0,58.3,.531,18.3,23.4,.783,8.4,31.5,23.2,8.8,5.4,13.8,21.4,106.5
16,Indiana Pacers*,2018,82,48,34,East,240.9,40.8,86.4,.472,9.0,24.5,.369,31.8,61.9,.513,14.9,19.2,.779,9.6,32.7,22.2,8.8,4.1,13.3,18.8,105.6
17,Portland Trail Blazers*,2018,82,49,33,West,240.9,39.3,87.0,.452,10.3,28.1,.366,29.0,58.8,.493,16.7,20.9,.800,10.2,35.3,19.5,7.0,5.2,13.5,19.5,105.6
18,New York Knicks,2018,82,29,53,East,241.8,40.7,87.7,.464,8.2,23.3,.352,32.5,64.4,.504,14.9,19.0,.787,10.5,33.6,23.3,6.7,5.1,14.7,20.5,104.5
19,Utah Jazz*,2018,82,48,34,West,240.9,38.3,82.9,.462,10.8,29.6,.366,27.5,53.3,.515,16.8,21.5,.779,9.0,34.2,22.4,8.6,5.1,14.7,19.6,104.1
20,Boston Celtics*,2018,82,55,27,East,241.5,38.3,85.1,.450,11.5,30.4,.377,26.9,54.7,.491,16.0,20.7,.771,9.4,35.1,22.5,7.4,4.5,14.0,19.7,104.0
21,Phoenix Suns,2018,82,21,61,West,240.3,38.5,87.1,.442,9.3,27.9,.334,29.1,59.2,.492,17.7,23.9,.741,10.3,33.9,21.3,6.9,4.5,15.7,22.0,103.9
22,Detroit Pistons,2018,82,39,43,East,241.5,39.1,86.9,.450,10.8,28.9,.373,28.3,58.0,.488,14.7,19.8,.745,10.1,33.6,22.8,7.7,3.9,13.5,18.4,103.8
23,Miami Heat*,2018,82,44,38,East,243.0,38.8,85.3,.455,11.0,30.6,.360,27.8,54.8,.508,14.7,19.5,.755,9.3,34.2,22.7,7.6,5.3,14.4,20.1,103.4
24,Orlando Magic,2018,82,25,57,East,240.6,38.8,85.9,.452,10.3,29.3,.351,28.5,56.5,.504,15.5,20.5,.757,8.8,32.8,23.4,7.6,4.9,14.5,19.3,103.4
25,Atlanta Hawks,2018,82,24,58,East,240.3,38.2,85.5,.446,11.2,31.0,.360,27.0,54.5,.495,15.8,20.2,.785,9.1,32.8,23.7,7.8,4.2,15.6,19.6,103.4
26,Chicago Bulls,2018,82,27,55,East,242.1,38.7,88.8,.435,11.0,31.1,.355,27.6,57.8,.478,14.6,19.2,.759,9.6,35.0,23.5,7.6,3.5,14.0,19.2,102.9
27,San Antonio Spurs*,2018,82,47,35,West,240.6,39.0,85.4,.457,8.5,24.1,.352,30.6,61.2,.499,16.1,20.9,.772,10.4,33.9,22.8,7.7,5.6,13.1,17.2,102.7
28,Dallas Mavericks,2018,82,24,58,West,241.5,38.1,85.9,.444,11.8,32.8,.360,26.4,53.1,.496,14.2,18.7,.763,8.1,33.1,22.7,7.0,3.8,12.3,19.2,102.3
29,Memphis Grizzlies,2018,82,22,60,West,240.3,36.7,82.8,.444,9.2,26.2,.352,27.5,56.5,.486,16.6,21.1,.786,9.5,31.0,21.5,7.5,4.8,15.0,23.2,99.3
30,Sacramento Kings,2018,82,27,55,West,240.9,38.8,86.1,.450,9.0,24.0,.375,29.8,62.1,.479,12.3,16.7,.735,9.5,31.4,21.6,7.8,4.1,13.7,20.0,98.8
1,Los Angeles Clippers*,2018,82,57,25,West,240.9,39.1,82.5,.474,8.5,24.0,.352,30.7,58.5,.525,21.2,29.1,.730,10.5,32.5,24.6,8.6,4.8,13.9,21.5,107.9
2,Houston Rockets*,2018,82,54,28,West,241.8,38.0,80.5,.472,9.5,26.6,.358,28.5,54.0,.529,22.1,31.1,.712,11.2,34.1,21.4,7.6,5.6,16.1,20.4,107.7
3,Minnesota Timberwolves,2018,82,40,42,West,242.1,38.9,87.5,.444,7.3,21.4,.341,31.6,66.1,.478,21.8,28.1,.778,12.5,32.2,23.9,8.8,3.6,13.9,18.3,106.9
4,Portland Trail Blazers*,2018,82,54,28,West,242.1,39.1,87.0,.450,9.4,25.3,.372,29.7,61.7,.481,19.1,23.5,.815,12.5,34.0,23.2,5.5,4.7,13.7,19.2,106.7
5,Oklahoma City Thunder*,2018,82,59,23,West,241.5,39.0,82.7,.471,8.1,22.4,.361,30.9,60.3,.512,20.2,25.0,.806,10.8,33.9,21.9,8.3,6.1,15.3,22.7,106.2
6,San Antonio Spurs*,2018,82,62,20,West,240.9,40.6,83.5,.486,8.5,21.4,.397,32.0,62.0,.517,15.7,20.0,.785,9.3,34.0,25.2,7.4,5.1,14.4,18.2,105.4
7,Phoenix Suns,2018,82,48,34,West,240.9,38.7,83.5,.463,9.3,25.1,.372,29.4,58.4,.503,18.5,24.4,.758,11.3,31.7,19.1,8.4,4.6,15.3,21.9,105.2
8,Dallas Mavericks*,2018,82,49,33,West,241.8,39.6,83.6,.474,8.8,22.9,.384,30.8,60.7,.508,16.8,21.1,.795,10.2,30.7,23.6,8.6,4.3,13.5,20.0,104.8
9,Denver Nuggets,2018,82,36,46,West,240.9,38.4,85.9,.447,8.6,23.9,.358,29.8,62.0,.481,19.1,26.3,.726,12.3,33.1,22.4,7.5,5.6,15.9,23.0,104.4
10,Golden State Warriors*,2018,82,51,31,West,241.8,39.5,85.4,.462,9.4,24.8,.380,30.0,60.6,.496,15.9,21.1,.753,10.9,34.4,23.3,7.8,5.0,15.2,21.8,104.3
11,Los Angeles Lakers,2018,82,27,55,West,240.3,38.3,85.1,.450,9.4,24.8,.381,28.8,60.3,.478,17.0,22.4,.757,9.1,32.0,24.5,7.5,5.4,15.1,19.8,103.0
12,Miami Heat*,2018,82,54,28,East,242.4,38.3,76.5,.501,8.1,22.3,.364,30.2,54.2,.558,17.5,23.0,.760,7.6,29.2,22.5,8.9,4.5,14.8,19.5,102.2
13,Toronto Raptors*,2018,82,48,34,East,243.4,36.5,81.9,.445,8.7,23.4,.372,27.8,58.5,.475,19.6,25.1,.782,11.4,31.1,21.2,7.0,4.2,14.1,23.0,101.3
14,Atlanta Hawks*,2018,82,38,44,East,241.8,37.3,81.6,.458,9.4,25.8,.363,28.0,55.8,.502,17.0,21.7,.781,8.7,31.3,24.9,8.3,4.0,15.3,19.2,101.0
15,Detroit Pistons,2018,82,29,53,East,241.2,38.8,86.9,.447,6.2,19.3,.321,32.6,67.6,.483,17.3,25.7,.670,14.6,30.8,20.9,8.4,4.8,14.5,20.3,101.0
16,Washington Wizards*,2018,82,44,38,East,244.6,38.7,84.4,.459,7.9,20.8,.380,30.9,63.6,.485,15.3,20.9,.731,10.8,31.4,23.3,8.1,4.6,14.7,20.4,100.7
17,Sacramento Kings,2018,82,28,54,West,241.8,36.9,82.5,.447,6.0,18.0,.333,30.9,64.5,.479,20.7,27.3,.759,12.1,32.4,18.9,7.2,3.9,15.2,22.5,100.5
18,New Orleans Pelicans,2018,82,34,48,West,242.1,37.8,82.5,.459,5.9,15.9,.373,31.9,66.6,.479,18.2,23.6,.769,11.4,30.3,21.3,7.9,6.4,13.8,22.6,99.7
19,Philadelphia 76ers,2018,82,19,63,East,242.1,37.9,87.2,.435,7.0,22.5,.312,30.9,64.7,.477,16.6,23.4,.710,11.6,31.2,21.8,9.3,4.0,16.9,22.5,99.5
20,New York Knicks,2018,82,37,45,East,242.1,36.9,82.2,.449,9.3,24.9,.372,27.7,57.3,.482,15.5,20.4,.761,10.6,29.7,20.0,7.7,4.5,13.0,22.1,98.6
21,Brooklyn Nets*,2018,82,44,38,East,242.4,35.7,77.9,.459,8.6,23.4,.369,27.1,54.5,.497,18.4,24.4,.753,8.8,29.4,20.9,8.6,3.8,14.5,21.7,98.5
22,Cleveland Cavaliers,2018,82,33,49,East,243.0,37.0,84.8,.437,7.1,20.0,.356,29.9,64.8,.461,17.0,22.7,.751,12.1,32.1,21.2,7.1,3.7,14.2,20.0,98.2
23,Charlotte Bobcats*,2018,82,43,39,East,242.7,36.3,82.1,.442,6.3,17.9,.351,30.0,64.1,.468,18.0,24.4,.737,9.5,33.2,21.7,6.1,5.1,12.3,18.2,96.9
24,Indiana Pacers*,2018,82,56,26,East,241.2,36.0,80.2,.449,6.7,18.8,.357,29.3,61.4,.477,18.1,23.3,.779,10.2,34.5,20.1,6.7,5.4,15.1,20.4,96.7
25,Orlando Magic,2018,82,23,59,East,243.4,36.9,82.7,.445,6.9,19.5,.353,30.0,63.3,.474,15.9,20.9,.763,9.7,32.4,21.0,7.7,4.3,14.9,20.5,96.5
26,Boston Celtics,2018,82,25,57,East,240.6,36.5,83.9,.435,7.0,21.1,.333,29.5,62.9,.470,16.2,20.8,.777,12.0,30.5,21.0,7.1,4.2,15.4,21.3,96.2
27,Memphis Grizzlies*,2018,82,50,32,West,241.5,38.1,82.0,.464,4.9,14.0,.353,33.1,68.0,.487,15.1,20.3,.741,11.6,30.8,21.9,7.7,4.6,13.7,19.1,96.1
28,Milwaukee Bucks,2018,82,15,67,East,242.4,36.0,82.2,.438,6.7,18.9,.353,29.3,63.2,.464,16.8,22.5,.747,11.8,29.3,21.5,6.6,4.9,15.1,20.9,95.5
29,Utah Jazz,2018,82,25,57,West,241.2,36.0,81.1,.444,6.6,19.2,.344,29.4,61.9,.474,16.4,22.0,.747,11.0,30.2,20.3,7.0,4.5,14.6,20.7,95.0
30,Chicago Bulls*,2018,82,48,34,East,243.0,34.7,80.2,.432,6.2,17.8,.348,28.5,62.4,.456,18.1,23.3,.779,11.4,32.7,22.7,7.2,5.2,14.9,19.1,93.7
